pred,upper,dagar,aldur,median_tilfelli,upper_tilfelli
60.17778940463372,75.30084057676845,11,10 - 19,4,8
60.17778940463372,75.30084057676845,11,20 - 29,10,15
60.17778940463372,75.30084057676845,11,30 - 39,9,13
60.17778940463372,75.30084057676845,11,40 - 49,20,26
60.17778940463372,75.30084057676845,11,50 - 59,16,22
60.17778940463372,75.30084057676845,11,60 - 69,13,19
60.17778940463372,75.30084057676845,11,70 - 79,1,4
60.17778940463372,75.30084057676845,11,80+,0,2
72.62939609345857,88.12313198350185,12,0 - 9,1,3
72.62939609345857,88.12313198350185,12,10 - 19,5,9
72.62939609345857,88.12313198350185,12,20 - 29,12,17
72.62939609345857,88.12313198350185,12,30 - 39,10,15
72.62939609345857,88.12313198350185,12,40 - 49,23,30
72.62939609345857,88.12313198350185,12,50 - 59,19,25
